2018-04-26 18:10:21 upgrade mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2018-04-26 18:10:21 status half-configured mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 status half-installed mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 status half-installed mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 status unpacked mawk:armhf 1.3.3-17ubuntu3
2018-04-26 18:10:21 install mount:armhf <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status half-installed mount:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 status unpacked mount:armhf 2.31.1-0.4ubuntu3
2018-04-26 18:10:21 install ncurses-base:all <none> 6.1-1ubuntu1
2018-04-26 18:10:21 status half-installed ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:10:21 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:10:21 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-04-26 18:10:21 install ncurses-bin:armhf <none> 6.1-1ubuntu1
2018-04-26 18:10:21 status half-installed ncurses-bin:armhf 6.1-1ubuntu1
2018-04-26 18:10:21 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2018-04-26 18:10:21 status unpacked ncurses-bin:armhf 6.1-1ubuntu1
2018-04-26 18:10:21 install passwd:armhf <none> 1:4.5-1ubuntu1
2018-04-26 18:10:21 status half-installed passwd:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 status unpacked passwd:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 status unpacked passwd:armhf 1:4.5-1ubuntu1
2018-04-26 18:10:21 upgrade perl-base:armhf 5.26.1-6 5.26.1-6
2018-04-26 18:10:21 status half-configured perl-base:armhf 5.26.1-6
2018-04-26 18:10:21 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:21 status half-installed perl-base:armhf 5.26.1-6
2018-04-26 18:10:22 status half-installed perl-base:armhf 5.26.1-6
2018-04-26 18:10:22 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:22 status unpacked perl-base:armhf 5.26.1-6
2018-04-26 18:10:22 install procps:armhf <none> 2:3.3.12-3ubuntu1
2018-04-26 18:10:22 status half-installed procps:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:22 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:22 status unpacked procps:armhf 2:3.3.12-3ubuntu1
2018-04-26 18:10:22 install sed:armhf <none> 4.4-2
2018-04-26 18:10:22 status half-installed sed:armhf 4.4-2
2018-04-26 18:10:22 status unpacked sed:armhf 4.4-2
2018-04-26 18:10:22 status unpacked sed:armhf 4.4-2
